49,7,Zamora,170588
9,7,Burgos,357650
2,8,Albacete,388270
25,9,Lleida,438517
48,16,Bizkaia,1159443
17,9,Girona,781788
19,8,Guadalajara,261995
39,6,Cantabria,582905
36,12,Pontevedra,945408
44,2,Teruel,134176
7,4,Balears, Illes,1171543
8,9,Barcelona,5743402
1,16,Araba/Álava,333940
6,11,Badajoz,672137
40,7,Segovia,153478
16,8,Cuenca,196139
52,19,Melilla,87076
41,1,Sevilla,1950219
50,2,Zaragoza,972528
28,13,Madrid,6779888
3,10,Alicante/Alacant,1879888
12,10,Castellón/Castelló,585590
51,18,Ceuta,84202
21,1,Huelva,524278
22,2,Huesca,222687
18,1,Granada,919168
42,7,Soria,88884
33,3,Asturias,1018784
32,12,Ourense,306650
47,7,Valladolid,520649
43,9,Tarragona,816772
30,14,Murcia,1511251
26,17,Rioja, La,319914
20,16,Gipuzkoa,727121
37,7,Salamanca,329245
13,8,Ciudad Real,495045
15,12,Coruña, A,1121815
46,10,Valencia/València,2591875
4,1,Almería,727945
27,12,Lugo,327946
45,8,Toledo,703772
31,15,Navarra,661197
34,7,Palencia,160321
