1,ANDALUCÍA,8414240
2,ARAGÓN,1319291
3,ASTURIAS,1022800
4,ISLAS BALEARES,1149460
5,ISLAS CANARIAS,2153389
6,CANTABRIA,581078
7,CASTILLA Y LEÓN,2399548
8,CASTILLA LA MANCHA,2032863
9,CATALUÑA,7675217
10,COMUNIDAD VALENCIANA,5003769
11,EXTREMADURA,1067710
12,GALICIA,2699499
13,MADRID,6663394
14,MURCIA,1493898
15,NAVARRA,654214
16,PAÍS VASCO,2207776
17,LA RIOJA,316798
18,CEUTA,84777
19,MELILLA,86487
